"IDENTIFIER","GSM526561","GSM526562","GSM526602","GSM526603","GSM526605","GSM526678"
"Phlpp1",7.42274,7.48,7.50585,7.36015,7.48541,7.58066
"Bcl2",3.79343,3.38781,3.34353,3.86687,3.66888,3.78746
"Serpinb5",2.69729,2.72329,2.83134,2.5839,2.75199,2.76871
"Serpinb12",2.34877,2.28215,2.34302,2.55332,2.3958,2.34877
"Serpinb13",2.65429,2.80707,2.67661,2.78952,2.88505,2.8597
"Serpinb11",2.42345,2.42039,2.53417,2.55298,2.56459,2.63505
"Serpinb7",1.96308,2.07014,1.97906,2.25541,2.08939,1.87611
"Serpinb2",3.27031,3.31675,3.232,3.27901,3.56733,3.38205
"Serpinb10",2.33681,2.51749,2.3319,2.29603,2.62542,2.41739
"Serpinb8",4.83852,4.3386,4.50833,4.94039,5.10309,4.72707
"Cdh7",3.68989,3.66253,3.87217,3.90995,3.81738,3.80176
"Cntnap5a",3.55376,3.59631,3.52095,3.49259,3.65668,3.42659
"Nifk",7.45191,7.5668,7.63911,7.57765,7.62727,7.71929
"Clasp1",6.86801,6.97011,6.95168,7.02868,6.89077,6.96317
"Tfcp2l1",6.32344,6.2109,6.40445,6.50099,6.55544,6.42484
"Tmem185b",6.68089,6.59904,6.67106,6.57523,6.5214,6.73788
"Sctr",5.43925,5.45034,5.63581,5.38231,5.41496,5.21731
"C1ql2",6.03605,6.08305,6.08572,5.9219,6.07976,5.79781
"En1",5.41668,5.4873,5.54581,5.54492,5.49259,5.29026
"Ccdc93",5.99289,5.78917,5.91186,6.1295,5.94257,6.03636
"Dpp10",4.99789,4.98604,4.98641,5.02568,5.0326,5.02988
"Slc35f5",9.36447,9.12742,9.1756,9.44885,9.549,9.45963
"Lypd1",5.66224,5.78919,5.70657,5.60183,5.76844,5.79002
"Mgat5",6.35086,6.38557,6.47924,6.68765,6.67206,6.54627
"Acmsd",7.57911,8.23834,7.15615,6.98311,6.32907,6.83299
"Ccnt2",7.4528,7.63203,7.26083,7.37909,7.30831,7.47078
"Rab3gap1",7.66326,7.77292,7.68149,7.57066,7.62562,7.72321
"Rpl28",10.5496,10.5304,10.6647,10.6945,10.6424,10.6756
"R3hdm1",7.20713,7.32167,7.32513,7.43576,7.1739,7.46784
"Mir128-1",4.55739,4.55347,4.55938,4.5682,4.64081,4.53502
"Ubxn4",8.98633,9.32936,9.12647,9.06667,9.26765,9.34451
"Thsd7b",4.86206,4.81536,5.01561,4.96701,4.81982,4.75288
"Yod1",6.96846,7.07214,6.79015,6.76966,6.95242,7.01239
"AA986860",5.97341,6.13176,5.98362,5.93675,5.65034,5.86513
"Fcamr",4.49676,4.60214,4.87605,4.75962,4.7685,4.80092
"Pigr",11.1499,11.0532,11.0505,11.1471,11.0313,11.1729
"Faim3",4.95199,5.01034,4.87982,5.03512,4.92221,4.99967
"Il10",3.18953,3.21698,3.11733,3.32977,3.27874,3.269
"Eif2d",6.69477,7.02946,6.8352,6.84259,6.85416,7.10159
"Fam72a",3.82446,3.63349,3.7658,3.64985,3.64648,3.72368
"Avpr1b",4.67405,4.74691,4.69961,5.11719,4.41797,4.52195
"Ctse",4.91153,4.81312,5.04135,4.91233,5.17697,4.94208
"Slc26a9",4.78141,4.75291,4.90089,4.88003,5.11721,4.52985
"Pm20d1",8.10271,8.13878,8.04453,8.13168,7.96444,8.39293
"Slc41a1",5.51299,5.98429,5.78748,6.4395,6.48422,6.51535
"Rab29",6.88658,6.86271,6.77862,6.82978,6.85617,6.8179
"Nucks1",9.6233,9.59627,9.6157,9.51209,9.2749,9.49286
"Slc45a3",8.60984,8.89228,8.62309,9.07316,9.07621,9.07267
"Elk4",8.04827,8.1308,8.16232,7.96482,7.95766,8.17168
"Lemd1",3.22711,3.37032,3.52163,3.30407,3.46939,3.41581
"Mir135b",4.42276,4.29214,4.36445,4.62836,4.29936,4.17701
"Klhdc8a",5.68419,5.72049,5.74102,5.66748,5.60787,5.72704
"Nuak2",6.83411,6.87788,6.84874,6.88637,6.3563,6.62502
"Dstyk",6.43132,6.48943,6.47709,6.59683,6.51486,6.47027
"Rbbp5",7.12933,7.14176,7.16994,6.9861,6.91737,7.1418
"Tmem81",5.48397,5.53678,5.69185,5.63588,5.24006,5.77662
"Lrrn2",6.35355,5.87395,6.20554,6.2425,6.30786,6.01301
"Pik3c2b",6.36456,6.23957,6.30265,6.30337,6.15638,6.16209
"Ppp1r15b",8.13604,8.09645,8.03428,8.19408,8.06816,8.18405
"Plekha6",6.76731,6.80047,6.69023,6.71374,6.57476,6.96256
"Golt1a",7.9941,8.14463,8.01935,7.94996,7.89927,7.86258
"Kiss1",6.01635,6.01702,6.12169,5.9846,6.16139,5.93814
"Ren2",5.36604,5.02184,5.26086,5.46785,5.26619,4.98976
"Etnk2",10.0061,10.2575,9.72404,9.80919,9.27627,9.71923
"Fmod",5.16451,5.36964,4.74565,5.2954,5.33228,4.80393
"Chit1",3.79441,4.32432,4.17521,4.24281,4.12293,3.93857
"Chil1",5.07109,5.13304,5.28311,5.32593,5.04688,5.25144
"Mybph",6.00471,5.9199,5.96725,5.97398,6.08503,6.14372
"Myog",5.17603,5.10392,5.37085,5.45499,5.38858,5.01481
"Cyb5r1",6.34127,6.25224,6.18655,6.18005,6.37534,6.03662
"Adipor1",9.09993,9.09369,9.09813,9.03162,8.99504,9.01477
"Klhl12",5.9788,6.24266,6.38469,6.13935,6.29728,6.10425
"Rabif",7.24727,7.05388,7.13514,7.14732,7.03871,7.24418
"Gm8580",8.98732,9.18831,9.25307,9.21873,9.25729,9.38407
"Kdm5b",7.38451,7.90193,7.66388,7.52057,7.54616,7.50525
"Syt2",5.83041,5.87273,5.86756,5.38771,5.62135,5.52312
"Ube2t",3.13229,3.18955,3.01782,3.04309,3.08655,2.78961
"Ptprv",5.46631,5.30319,5.52837,5.28525,5.5176,5.36079
"Ptpn7",5.44728,5.62849,5.65838,5.60906,5.81253,5.63776
"Arl8a",7.25272,7.20289,7.21981,7.1905,7.38088,7.32407
"Lmod1",5.46425,5.58861,5.83433,5.65605,5.68849,5.33758
"Nav1",5.18648,5.20219,5.2674,5.27202,5.20307,4.99092
"Csrp1",6.7489,6.77884,6.81533,6.86934,6.74725,6.71151
"Phlda3",5.76024,5.66284,5.84758,5.78885,5.799,5.8642
"Tnni1",5.63549,5.67749,5.50782,5.48541,5.54493,5.55147
"Lad1",6.07189,6.6308,6.52836,6.45479,6.37793,6.41146
"Tnnt2",5.80836,5.84098,5.90296,5.86931,5.86328,5.87921
"Tmem9",6.52192,6.53868,6.70311,6.52236,6.5551,6.6195
"Cacna1s",5.24544,4.99351,5.2781,5.10275,5.32715,5.04006
"Kif21b",5.41455,5.27065,5.24317,5.21863,5.38315,5.00234
"Ddx59",5.54704,5.56514,5.62658,5.57631,5.69144,5.59162
"Kif14",3.87551,3.64912,3.91413,4.01628,3.92514,3.92336
"Zfp281",7.6976,7.68905,7.50292,7.49135,7.58191,7.50943
"Hmbs",7.60766,7.80794,7.70659,7.66796,8.04244,7.90455
"Mir181a-1",2.13415,2.11646,2.03939,2.12531,2.41897,2.15185
"Mir181b-1",2.37309,2.60443,2.53906,2.42414,2.44422,2.61994
"Atp6v1g3",4.29617,4.03946,4.30908,4.01461,4.37216,3.90933
"Dennd1b",6.92887,6.99429,7.02533,6.90668,6.95469,7.21321
"Zbtb41",6.91357,6.91442,6.88641,6.87241,6.92549,7.08274
"Aspm",4.43122,4.34706,4.23692,4.30163,4.02598,4.15606
"F13b",9.76029,9.82473,9.73643,9.73035,9.60796,9.81258
"Kcnt2",3.97486,3.95994,3.92018,3.45526,3.87075,3.90925
"B3galt2",2.76182,2.69691,2.78618,2.50693,2.65671,2.54573
"Glrx2",8.97863,8.8539,8.8664,8.88304,8.92018,8.8141
"Uchl5",7.34123,7.22342,7.16527,7.14704,7.22136,7.37358
"Brinp3",4.12378,3.86271,3.96247,4.07273,4.06343,4.01253
"Ptgs2",4.74788,4.54168,4.60007,4.63198,4.46099,4.48671
"Pdc",3.74333,3.91632,3.81809,3.65517,3.97148,3.78092
"Tpr",8.23048,8.33358,8.32779,8.28466,8.26756,8.34512
"Ska2",3.10364,3.07487,3.01116,3.40954,3.21888,3.21193
"Ivns1abp",9.69832,9.749,9.63298,9.72701,9.50377,9.62106
"Trmt1l",6.74272,7.06868,6.91066,6.93708,6.74862,7.15158
"Fam129a",4.98765,4.9086,4.92372,5.12551,5.36703,5.39746
"Edem3",7.75149,7.89228,7.91218,7.78964,7.88264,7.92563
"Colgalt2",4.26797,4.16341,4.33398,4.4009,4.35672,4.15212
"Apobec4",2.66098,2.39282,2.45836,2.53298,2.43106,2.43729
"Arpc5",8.34946,8.37113,8.32477,8.42685,8.36252,8.44876
"Ncf2",5.76335,5.75524,5.78128,5.71923,5.90725,6.08556
"Nmnat2",5.84529,5.68041,5.75304,5.71992,5.91286,5.68809
"Shcbp1l",3.37018,3.23006,3.42896,3.48743,3.36641,3.30718
"Rgs8",5.13531,5.30304,5.19504,5.07931,5.16893,5.04468
"Rgs16",7.326,8.80729,9.18643,8.11827,8.42214,8.8553
"Rnasel",4.72128,4.77371,4.4857,4.63056,4.71984,4.58217
"Gm5531",5.1278,4.95913,5.32176,5.58679,5.77391,5.21444
"Teddm1",5.05593,4.7348,4.75168,4.69372,4.8938,4.8794
"Glul",10.9854,11.4312,11.5185,11.451,11.6952,11.5479
"AK080751",6.7406,7.11972,7.18423,7.31613,7.47484,7.35499
"Stx6",6.40774,6.49725,6.52981,6.41344,6.37954,6.4783
"Acbd6",7.12824,6.94704,7.05488,6.87628,7.01504,6.98923
"Tor1aip2",6.81878,6.75513,6.82964,6.92554,6.85512,6.82957
"Tor1aip2",8.00354,8.19611,8.05269,8.06274,8.0762,8.16217
"Tor1aip2",8.58716,8.41612,8.49276,8.35214,8.59514,8.66112
"Nphs2",4.08822,4.03323,4.05046,4.23286,4.29161,4.28544
"Rpl35",8.46083,8.38451,8.51598,8.44458,8.57486,8.62164
"Csnk2a1",9.51207,9.58388,9.61272,9.48886,9.34133,9.70947
"Abl2",6.24249,6.5225,6.49943,6.30154,6.31334,6.00361
"Angptl1",3.74618,3.74028,3.83696,3.53628,3.86622,3.97553
"BC026585",7.08155,7.11194,7.04061,7.10526,6.88552,7.04448
"Sec16b",8.72828,8.87721,8.93718,8.85845,8.76515,8.97064
"Astn1",5.18435,5.04208,5.139,5.21638,5.12077,4.94165
"Mir488",1.95881,2.10349,2.02928,2.02576,2.12071,1.97868
"Rfwd2",8.24285,8.1836,8.20558,8.12694,8.10618,8.26775
"Tnr",4.06068,3.87441,4.26994,4.28088,4.29204,4.0787
"Mrps14",7.81965,7.92312,7.78182,7.64931,7.91546,7.55086
"Rpl23a",9.42663,9.44322,9.64848,9.5631,9.48699,9.66613
"Rc3h1",7.9505,7.96838,7.8696,7.9957,8.01661,8.18745
"Rc3h1",7.50344,7.50535,7.33834,7.37367,7.29039,7.48248
"Serpinc1",11.4645,11.4173,11.4919,11.4953,11.4508,11.5637
"Gas5",10.6949,10.6633,10.5968,10.6659,10.6463,10.6723
"Gas5",6.39374,6.40445,6.43162,6.58596,6.48912,6.35171
"Gas5",8.77402,8.95415,9.05084,8.91421,9.0832,9.1176
"Gas5",4.49138,4.49138,4.60101,4.55448,4.68432,4.86855
"Snord47",6.50316,6.28407,6.63254,6.4034,6.49648,7.06545
"FM991906",5.06578,5.2506,5.04763,5.14472,4.99759,5.14374
"Cenpl",5.27311,5.08452,5.22505,5.23547,5.13053,4.97473
"Ankrd45",4.58642,4.58329,4.50212,4.58442,4.45926,4.44924
"Tnfsf4",3.59739,3.32131,3.50641,3.50641,3.5459,3.10458
"Tnfsf18",3.6405,3.78427,3.57745,3.51335,3.45244,3.70571
"Pigc",5.84657,5.98346,5.82912,5.63305,5.71525,5.51368
"Mir199a-2",4.51972,3.50134,3.95433,4.40658,4.37224,4.01624
"Dnm3",4.61249,4.40955,4.25762,4.59845,4.52752,4.33783
"Vamp4",7.44738,7.35071,7.39828,7.28546,7.31336,7.45019
"Myoc",4.30484,4.12251,4.18788,4.38226,4.19517,4.21626
"Kifap3",5.93023,5.90135,6.01124,5.96642,5.92223,6.0349
"Scyl3",7.66986,7.68797,7.68435,7.68933,7.70847,7.61751
"Mettl18",5.66733,5.42988,5.49676,5.3259,5.51391,5.33518
"Sele",5.17569,4.97669,5.06449,5.19102,5.20479,5.04969
"Sell",4.92958,4.77971,4.66564,4.97923,4.99115,4.93882
"Selp",5.18216,5.23339,5.20696,5.13508,5.16731,5.30514
"F5",10.351,10.2892,10.3569,10.2471,10.2183,10.4119
"Slc19a2",9.42498,9.24335,9.20267,9.24586,8.91047,9.30124
"Ccdc181",6.21782,6.00221,5.74619,5.69887,5.86722,5.598
"Nme7",6.02288,6.02398,6.13678,6.05761,6.03554,6.12794
"Dpt",4.90861,5.45034,5.31888,5.60655,5.56346,5.36914
"Gpr161",4.50056,4.37357,4.60092,4.4367,4.74099,4.48257
"Mpc2",9.49243,9.41058,9.35745,9.23718,9.32809,9.13461
"Adcy10",3.02185,2.81094,2.95199,2.88878,2.87161,2.97573
"Creg1",10.4688,10.3002,10.4792,10.2722,10.428,10.3777
"Cd247",4.81818,4.87997,4.80106,4.95807,4.7381,4.66491
"Gpa33",4.2774,4.31305,4.16312,4.26532,4.11821,4.12907
"Ildr2",6.63221,6.16125,6.20547,6.5749,6.42751,6.74554
"Tada1",7.12004,7.11689,7.21423,7.32739,7.31508,7.35994
"Fam78b",4.27216,4.01389,4.1673,4.09655,4.24992,3.8148
"Tmco1",7.98113,7.97255,7.93985,7.87154,8.00104,7.96737
"Aldh9a1",10.1791,10.1841,10.1996,10.2431,10.1196,10.171
"Rxrg",5.66164,5.51724,5.77033,5.46432,5.67828,5.75776
"Lmx1a",5.16266,5.27731,5.31776,5.28568,5.19314,5.02809
"Rgs5",7.18429,6.78588,6.53988,6.81364,6.71837,6.80024
"Uhmk1",6.1323,6.211,6.22065,6.35491,6.44582,6.0658
"Sh2d1b2",2.36852,2.20036,2.78668,2.55809,2.66571,2.30623
"Sh2d1b1",3.02915,2.83274,2.95086,2.84128,3.10762,2.67583
"Nos1ap",4.52856,4.27728,4.84595,5.23329,4.83727,4.34113
"Olfml2b",4.86798,4.95607,4.81294,4.94037,4.79312,4.98151
"AK089343",5.7639,5.76453,5.92206,5.7551,5.68747,5.60271
"Dusp12",5.47991,5.30586,5.47315,5.49771,5.37079,5.44097
"FJ556972",4.62575,4.62611,4.49913,4.64043,4.2077,4.41835
"Fcgr4",5.08034,5.21501,5.34091,5.3962,5.42598,5.35122
"Rnu1b6",7.37159,7.54069,7.48337,7.39709,7.43495,7.66929
"Mpz",5.50173,5.23238,5.374,5.25607,5.64328,5.21111
"Nr1i3",10.1999,10.2664,10.7388,10.1284,10.2331,10.2812
"Apoa2",13.1221,13.0781,13.2587,13.184,13.2844,13.2985
"Adamts4",5.40253,5.2369,5.39181,5.43971,5.49046,5.19265
"B4galt3",5.95193,5.77085,5.8502,5.71666,5.80059,5.71318
"Dedd",7.34641,7.43961,7.42435,7.47583,7.51277,7.40849
"Pfdn2",8.36481,8.47177,8.37802,8.40138,8.45766,8.4718
"Pvrl4",5.1646,5.37714,5.39581,5.24287,5.17918,5.12097
"Arhgap30",5.34588,5.33157,5.37171,5.55148,5.44719,5.4531
"Usf1",6.75152,6.47257,6.57377,6.48846,6.67872,6.63205
"F11r",8.68285,8.64196,8.62429,8.73564,8.58284,8.73083
"Alyref2",6.24023,6.46843,6.28245,6.26633,6.45814,6.58921
"Itlnb",4.4305,4.13599,4.5816,4.79718,4.45274,4.50827
"Cd48",4.28019,4.09888,4.37966,4.3199,4.28584,4.31739
"Tma7",7.71272,7.84625,7.75801,7.597,7.78008,7.7581
"Slamf1",2.91007,3.06041,2.98858,2.85895,2.78169,2.91694
"Cd84",4.79435,4.76302,4.83601,4.8616,4.91403,4.95725
"Slamf6",3.23892,3.67056,3.50972,3.35108,3.56048,3.35087
"Copa",10.1064,10.1326,10.181,10.2203,10.218,10.205
"Pex19",9.07253,9.11783,9.35553,9.2646,9.24738,9.26728
"Dcaf8",9.12893,9.25202,9.12974,9.19668,9.1887,9.19127
"Igsf8",5.95605,5.98511,6.16779,6.20295,6.00556,5.76519
"Kcnj10",4.98129,5.02135,5.12818,5.11263,5.21434,4.81232
"Pigm",6.47917,6.81688,6.41882,6.48021,6.49928,6.67606
"Slamf9",5.08995,5.24056,5.19317,5.35571,5.11527,5.11841
"Igsf9",5.85495,5.77268,5.91138,5.85115,5.97058,5.81726
"Tagln2",5.76054,5.97714,5.83016,6.18276,5.99495,5.99073
"Cfap45",4.38609,4.45433,4.48414,4.62032,4.75169,4.10564
"Vsig8",5.83373,5.76664,5.80994,5.79302,5.97111,5.66795
"Crp",10.5045,10.6132,10.4328,10.7245,10.7544,11.0166
"Olfr418-ps1",4.50357,4.35582,4.53367,4.34341,4.44101,4.46927
"Olfr218",2.91687,3.05172,2.87754,3.00011,3.17618,2.90073
"Olfr1404",3.47636,3.45824,3.53041,3.38023,3.41228,3.45983
"Olfr418-ps1",3.58754,3.54393,3.78978,3.67166,3.45177,3.66186
"Aim2",3.85961,3.90185,4.15318,3.69577,3.77601,3.76497
"Pyhin1",2.72089,3.04124,2.95588,2.88313,3.03558,2.94312
"Pydc3",2.1938,2.69837,2.73632,2.72683,2.69813,3.08791
"Olfr433",4.67588,4.62772,4.64602,4.81072,4.55465,4.60058
"Olfr432",3.46118,3.59436,3.50538,3.32793,3.64483,3.62261
"Olfr430",3.02182,2.97971,3.31433,3.0152,3.26609,3.19116
"Olfr429",3.66465,3.36432,3.55851,3.88084,3.7721,3.28165
"Olfr427",3.29646,3.61941,3.31313,3.17522,3.3628,3.47431
"Olfr424",4.50678,4.47251,4.76404,4.54717,4.51353,4.58124
"Olfr421-ps1",2.83472,2.8738,2.85987,2.6441,3.004,2.60628
"Olfr420",4.97721,5.07718,4.85526,5.01513,4.86142,5.05155
"Spta1",4.18145,3.86961,4.12861,4.09027,3.99882,3.9696
"Mptx1",2.69409,2.82121,2.97937,2.8615,2.74342,2.92155
"Olfr417",5.32794,4.70363,4.88758,4.84166,5.19267,5.01592
"Olfr248",3.13867,2.91853,3.04034,3.10445,2.87152,2.78826
"Olfr414",4.68463,4.8052,4.67479,4.54211,4.7556,4.67495
"Olfr220",4.87234,4.35213,4.42003,4.44083,4.67983,4.6094
"Fmn2",3.53031,3.62983,3.60378,3.7541,3.46516,3.52706
"AK142791",2.6342,2.59505,2.30329,2.30244,2.12584,2.41666
"Kmo",10.528,10.7974,10.5173,10.6306,10.524,10.694
"Wdr64",4.10354,4.29688,4.28349,4.22045,4.30916,3.94353
"Exo1",4.50537,4.7928,4.58054,4.73219,4.67296,4.85476
"Sdccag8",5.9575,5.99832,6.00819,6.20402,5.98049,6.16254
"Zbtb18",7.13489,6.80477,6.85367,6.71809,6.70753,7.0495
"Gm16432",2.92396,3.02297,3.00415,3.05734,2.9229,2.67975
"Desi2",7.47723,7.28636,7.22601,7.43994,7.32634,7.42369
"Cox20",7.74642,7.68281,7.94491,7.86939,7.62594,7.86711
"Efcab2",4.5928,4.27382,4.40806,4.45684,4.6272,4.69527
"Kif26b",5.32633,5.27538,5.37686,5.2615,5.50475,5.07679
"Kif26b",4.92168,5.0697,5.11833,5.30809,5.47653,5.14835
"Cnst",6.06993,6.17719,6.03171,6.31206,6.37384,6.2114
"Sccpdh",5.25347,5.05846,5.23971,5.18399,5.0894,5.27096
"Ahctf1",5.86556,5.75195,5.7505,5.90966,5.84965,5.90601
"Cdc42bpa",7.44065,7.51132,7.52187,7.4554,7.58689,7.57719
"Itpkb",5.80283,5.66911,5.83771,5.93192,5.87156,5.93553
"Parp1",7.13649,7.26814,7.12774,7.15415,7.10448,7.32836
"Lin9",2.93659,3.00211,3.09276,3.24085,2.95402,2.8482
"Acbd3",8.01179,8.13684,7.98292,8.02775,7.9744,8.05119
"Sde2",6.68463,6.71488,6.71918,6.71897,7.04942,6.79053
"Lefty2",3.90971,4.09504,3.87837,3.93804,3.85647,3.81125
"Pycr2",6.1025,5.84003,6.22579,6.21283,6.21758,6.0547
"Lefty1",4.77862,4.87785,4.98561,5.01519,4.74185,4.60678
"Tmem63a",7.37846,7.25617,7.35225,7.2823,7.22554,7.26086
"Cnih4",7.9897,7.86207,7.65711,7.81407,7.70334,7.91869
"Haus5",6.06423,5.90698,5.91034,6.1355,6.08094,6.06275
"Cnih3",4.89345,4.9669,5.17886,5.1998,5.12397,4.99948
"Srp9",6.90432,6.76522,6.95163,6.7867,6.94081,6.61221
"Trp53bp2",7.75165,7.89347,7.67124,7.62333,7.65868,7.60704
"Capn8",5.53499,5.79209,5.51585,5.21161,5.49992,5.40183
"Susd4",6.59294,7.11197,6.85154,6.71017,7.02975,7.02565
"Dusp10",5.8914,5.92022,5.88403,5.79499,6.11457,5.71643
"Rpl21",10.0869,10.0647,10.1627,10.1839,10.1448,10.2661
"Rab3gap2",6.94107,7.06268,7.0736,6.92202,7.03777,7.12218
"Mir664",2.34753,2.29166,2.2833,2.56318,2.21969,2.26251
"Mir194-1",6.40264,6.42416,6.31903,6.34207,6.39773,6.43565
"Mir215",3.17879,3.64881,3.43417,3.2944,3.23715,3.37298
"Bpnt1",8.86997,8.95737,9.01915,9.01108,9.02045,9.02705
"Eprs",8.87171,9.05156,8.94433,8.99371,8.82584,8.99397
"Slc30a10",8.44624,8.12583,8.2698,8.83157,8.67346,8.60711
"D1Pas1",4.52323,4.22234,4.29408,4.59014,4.56313,4.46728
"Gpatch2",7.01163,7.10341,7.02955,7.12643,7.169,7.14034
"Esrrg",5.8058,6.28585,6.48065,6.41084,6.69025,6.78725
"Ush2a",4.54172,4.61088,4.53583,4.69577,4.53461,4.55766
"Ptpn14",6.46615,6.27221,6.22262,6.26026,6.49188,6.14638
"Angel2",7.13499,7.15882,7.02195,7.16837,7.21745,7.26958
"A230020J21Rik",5.71283,5.62205,5.57805,5.69827,5.76807,5.76791
"Spata45",3.72469,3.76634,3.43559,3.60273,3.40261,3.53798
"Nsl1",4.85144,4.55256,4.86074,4.94762,5.16916,4.94026
"Batf3",5.77219,6.12068,6.06129,5.99447,6.20619,5.82992
"Tmem206",5.70076,5.73508,5.42921,5.83647,5.6358,5.60381
"Ints7",7.37221,7.41293,7.35592,7.48393,7.40566,7.50178
"Lpgat1",9.91203,9.89424,9.97749,10.2446,10.1454,10.292
"Nek2",5.85902,5.42499,5.67691,5.71116,5.94187,5.52988
"Slc30a1",8.38461,8.26739,8.08893,8.09039,8.27088,8.08646
"Rd3",4.98274,5.02597,5.18894,5.15323,5.16948,5.10706
"Gm10516",4.36739,4.33969,4.40441,4.39729,4.3834,4.16071
"Kcnh1",5.01872,5.02274,5.21628,5.06464,5.02523,4.9045
"Irf6",7.56459,7.55565,7.52871,7.48968,7.66052,7.50706
"A130010J15Rik",5.90138,5.84734,5.87697,5.66181,5.80483,5.82111
"Lamb3",6.22272,6.21271,6.36618,6.50509,6.59629,6.30277
"Plxna2",6.85218,6.6243,6.78916,7.02901,6.72912,7.10291
"Cd34",5.08439,4.69352,5.13011,5.19331,5.0922,4.72285
"A330023F24Rik",6.67486,6.63509,6.35296,6.25494,5.80993,6.16999
"Mir29b-2",5.57324,5.17034,5.34301,4.74346,4.40087,4.77851
"Mir29c",6.45188,6.2601,6.18502,5.78988,5.66362,5.93635
"Xkr4",5.48312,5.2389,5.61896,5.53482,5.45401,5.43414
"Rp1",2.77856,2.99863,3.09034,3.22819,3.14038,2.90893
"Sox17",4.51509,4.63884,4.66819,4.8006,4.82667,4.40227
"Mrpl15",7.62498,7.70005,7.62385,7.63168,7.59976,7.63737
"Hmgb3",6.88557,6.7859,7.08919,6.79887,6.9058,6.69852
"Rgs20",4.03565,3.96705,4.05701,4.05453,4.21697,3.95553
"Npbwr1",5.34411,5.39946,5.37122,5.69567,5.71073,5.33471
"Rb1cc1",7.2813,7.04923,7.22583,7.19254,7.23217,7.05091
"Sntg1",4.14811,4.37181,4.35398,4.63832,4.10793,3.9485
"Cks2",6.52319,6.53756,6.45382,6.34784,6.35472,6.56849
"Mybl1",2.9563,2.88834,2.89007,3.27704,3.05321,2.92846
"Vcpip1",7.88964,8.0995,7.92701,8.12201,8.05626,8.03633
"Gm6195",5.83189,5.83452,6.11912,5.91489,5.85002,5.62687
"Snord87",5.13779,4.81029,5.17108,5.51483,5.43314,5.43375
"Ppp1r42",2.52183,2.47878,2.44003,2.50146,2.37425,2.44461
